# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
0.462613  0.646340  0.406124  -0.028464  0.037090  0.027443
0.432637  0.679392  0.430792  -0.033198  0.031148  0.030983
0.398183  0.706431  0.458756  -0.037264  0.024372  0.033875
0.360070  0.726647  0.489256  -0.040438  0.016983  0.036049
0.319374  0.739536  0.521520  -0.042625  0.009320  0.037556
0.277112  0.744921  0.554875  -0.043780  0.001663  0.038474
0.234351  0.742912  0.588781  -0.043896  -0.005781  0.038859
0.191968  0.733756  0.622802  -0.043151  -0.013036  0.038570
0.150543  0.717499  0.656233  -0.041689  -0.020228  0.037281
0.110698  0.694142  0.687988  -0.039537  -0.027357  0.034866
0.073159  0.663811  0.716956  -0.036656  -0.034172  0.031584
0.038797  0.627047  0.742418  -0.032978  -0.040228  0.027966
0.008440  0.584816  0.764322  -0.028553  -0.045207  0.024332
-0.017257  0.538298  0.782669  -0.023565  -0.049104  0.020579
-0.037818  0.488606  0.797201  -0.018115  -0.052044  0.016433
-0.052761  0.436717  0.807363  -0.012173  -0.054103  0.011699
-0.061582  0.383376  0.812530  -0.005865  -0.055297  0.006373
-0.064119  0.329232  0.812191  0.000428  -0.055520  0.000685
-0.060646  0.275171  0.806216  0.006451  -0.054626  -0.004967
-0.051497  0.222457  0.794899  0.012183  -0.052609  -0.010293
-0.037014  0.172441  0.778737  0.017694  -0.049514  -0.015241
-0.017315  0.126302  0.758050  0.023029  -0.045388  -0.019799
0.007567  0.084773  0.733108  0.028073  -0.040318  -0.023886
0.037328  0.048469  0.704300  0.032625  -0.034344  -0.027416
0.071362  0.018217  0.672214  0.036523  -0.027462  -0.030320
0.108871  -0.004960  0.637574  0.039689  -0.019841  -0.032499
0.149072  -0.020465  0.601199  0.042072  -0.011981  -0.033874
0.191099  -0.028352  0.563939  0.043544  -0.004323  -0.034440
0.233987  -0.028893  0.526577  0.043973  0.003109  -0.034261
0.276795  -0.022130  0.489685  0.043341  0.010584  -0.033405
0.318735  -0.007816  0.453726  0.041659  0.018092  -0.031871
0.358820  0.013933  0.419339  0.039021  0.025237  -0.029672
0.396050  0.042414  0.387304  0.035606  0.031619  -0.026868
0.429462  0.076477  0.358421  0.031538  0.037064  -0.023576
0.458328  0.115170  0.333193  0.026929  0.041626  -0.019878
0.482272  0.157806  0.311932  0.021939  0.045410  -0.015700
0.501173  0.203863  0.295036  0.016710  0.048418  -0.011034
0.514897  0.252530  0.282874  0.011243  0.050521  -0.006128
0.523134  0.302787  0.275530  0.005418  0.051572  -0.001237
0.525443  0.353536  0.272932  -0.000784  0.051465  0.003635
0.521540  0.403644  0.275100  -0.007075  0.050230  0.008640
0.511645  0.451909  0.282182  -0.013131  0.047942  0.013774
0.496189  0.497109  0.294141  -0.018800  0.044743  0.018699
0.475594  0.538451  0.310548  -0.024139  0.040766  0.023042
0.449979  0.575374  0.330793  -0.029244  0.035972  0.026684
0.419399  0.607336  0.354344  -0.034021  0.030257  0.029763
0.384228  0.633460  0.380792  -0.038174  0.023661  0.032478
0.345321  0.652960  0.409819  -0.041354  0.016461  0.034866
0.303832  0.665319  0.441026  -0.043393  0.008894  0.036742
0.260911  0.670207  0.473762  -0.044428  0.001085  0.037813
0.217380  0.667413  0.507092  -0.044667  -0.006801  0.037918
0.173952  0.656952  0.540072  -0.044071  -0.014513  0.037146
0.131498  0.639080  0.571958  -0.042547  -0.021918  0.035676
0.090903  0.614065  0.602172  -0.040042  -0.028913  0.033638
0.053140  0.582388  0.630222  -0.036591  -0.035297  0.031160
0.019144  0.544764  0.655700  -0.032250  -0.040932  0.028279
-0.010175  0.502040  0.678155  -0.027150  -0.045756  0.024900
