# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
-0.064765  -0.510287  -2.515497  -0.001823  -0.001610  -0.009004
-0.066597  -0.511959  -2.529742  -0.002203  -0.001568  -0.008620
-0.068687  -0.513551  -2.543243  -0.002458  -0.001470  -0.008449
-0.070822  -0.514940  -2.556531  -0.002436  -0.001343  -0.008556
-0.072828  -0.516154  -2.570097  -0.002400  -0.001358  -0.008829
-0.074944  -0.517432  -2.584113  -0.002706  -0.001603  -0.009105
-0.077632  -0.518996  -2.598358  -0.003300  -0.001991  -0.009327
-0.081008  -0.520949  -2.612839  -0.003867  -0.002431  -0.009517
-0.084898  -0.523363  -2.627586  -0.004104  -0.002889  -0.009710
-0.088788  -0.526263  -2.642666  -0.003895  -0.003277  -0.009950
-0.092263  -0.529528  -2.658018  -0.003469  -0.003556  -0.010195
-0.095329  -0.533063  -2.673576  -0.003150  -0.003751  -0.010323
-0.098271  -0.536797  -2.689270  -0.002976  -0.003883  -0.010289
-0.101142  -0.540680  -2.704901  -0.002555  -0.003914  -0.010120
-0.103383  -0.544553  -2.720411  -0.001681  -0.003852  -0.009877
-0.104568  -0.548351  -2.735584  -0.000837  -0.003905  -0.009558
-0.105049  -0.552289  -2.750214  -0.000636  -0.004277  -0.009186
-0.105702  -0.556767  -2.764352  -0.000979  -0.004879  -0.008830
-0.106783  -0.561897  -2.778190  -0.001267  -0.005344  -0.008608
-0.108016  -0.567346  -2.791980  -0.001106  -0.005245  -0.008609
-0.108854  -0.572324  -2.805932  -0.000561  -0.004441  -0.008829
-0.109133  -0.576183  -2.820170  0.000045  -0.003353  -0.009140
-0.108918  -0.578979  -2.834655  0.000589  -0.002610  -0.009367
-0.108315  -0.581311  -2.849255  0.001050  -0.002400  -0.009499
-0.107418  -0.583575  -2.863778  0.001381  -0.002359  -0.009642
-0.106343  -0.585681  -2.878418  0.001420  -0.002115  -0.009891
-0.105411  -0.587401  -2.893524  0.001064  -0.001696  -0.010185
-0.104916  -0.588776  -2.909313  0.000408  -0.001429  -0.010344
-0.105088  -0.590195  -2.925515  -0.000290  -0.001439  -0.010237
-0.105840  -0.591826  -2.941438  -0.000832  -0.001560  -0.009909
-0.107043  -0.593599  -2.956559  -0.001261  -0.001571  -0.009501
-0.108667  -0.595230  -2.970880  -0.001673  -0.001440  -0.009140
-0.110728  -0.596633  -2.984815  -0.002166  -0.001270  -0.008890
-0.113330  -0.597816  -2.998724  -0.002606  -0.001123  -0.008781
-0.116190  -0.598833  -3.012631  -0.002684  -0.001097  -0.008816
-0.118830  -0.599870  -3.026423  -0.002392  -0.001198  -0.008953
-0.121049  -0.601007  -3.040372  -0.002139  -0.001323  -0.009111
-0.123225  -0.602258  -3.054684  -0.002226  -0.001466  -0.009205
-0.125652  -0.603728  -3.069384  -0.002556  -0.001747  -0.009212
-0.128372  -0.605648  -3.084104  -0.002954  -0.002151  -0.009161
-0.131263  -0.607990  -3.098410  -0.003290  -0.002519  -0.009146
-0.134232  -0.610625  -3.112399  -0.003473  -0.002774  -0.009260
-0.137230  -0.613429  -3.126548  -0.003414  -0.003030  -0.009525
-0.140135  -0.616563  -3.141307  -0.003276  -0.003400  -0.009827
-0.143132  -0.620134  -3.156599  -0.003323  -0.003787  -0.010009
-0.146391  -0.624067  -3.172112  -0.003576  -0.004067  -0.010010
-0.150016  -0.628218  -3.187574  -0.003956  -0.004160  -0.009842
-0.153972  -0.632349  -3.202756  -0.004297  -0.004108  -0.009603
-0.158062  -0.636353  -3.217483  -0.004297  -0.004086  -0.009436
-0.161795  -0.640374  -3.232018  -0.003670  -0.004217  -0.009448
-0.164622  -0.644651  -3.246829  -0.002519  -0.004390  -0.009553
-0.166347  -0.649129  -3.262054  -0.001332  -0.004402  -0.009537
-0.167301  -0.653602  -3.277485  -0.000359  -0.004141  -0.009244
-0.167707  -0.657700  -3.292460  0.000528  -0.003645  -0.008736
-0.167567  -0.661192  -3.306437  0.001256  -0.003084  -0.008247
-0.167082  -0.664033  -3.319411  0.001526  -0.002605  -0.008024
-0.166569  -0.666390  -3.332100  0.001314  -0.002332  -0.008164
-0.166232  -0.668570  -3.345264  0.000987  -0.002257  -0.008546
-0.165847  -0.670724  -3.359121  0.000890  -0.002241  -0.008991
-0.165196  -0.672830  -3.373494  0.000860  -0.002085  -0.009399
-0.164512  -0.674665  -3.388290  0.000664  -0.001805  -0.009708
-0.164014  -0.676274  -3.403416  0.000445  -0.001610  -0.009872
-0.163627  -0.677809  -3.418720  0.000261  -0.001558  -0.009886
-0.163418  -0.679380  -3.434032  -0.000122  -0.001514  -0.009783
-0.163760  -0.680854  -3.449239  -0.000892  -0.001364  -0.009597
-0.165064  -0.682111  -3.464161  -0.001899  -0.001272  -0.009339
-0.167361  -0.683357  -3.478671  -0.002721  -0.001300  -0.009077
-0.170220  -0.684623  -3.492861  -0.003161  -0.001307  -0.008904
-0.173268  -0.685825  -3.506791  -0.003317  -0.001209  -0.008869
-0.176299  -0.686824  -3.520587  -0.003313  -0.001068  -0.008972
-0.179282  -0.687673  -3.534512  -0.003102  -0.000951  -0.009186
-0.182055  -0.688402  -3.548877  -0.002615  -0.000936  -0.009456
-0.184385  -0.689217  -3.563697  -0.002226  -0.001116  -0.009656
-0.186674  -0.690316  -3.578752  -0.002516  -0.001485  -0.009678
-0.189666  -0.691858  -3.593670  -0.003502  -0.002003  -0.009529
-0.193788  -0.693942  -3.608283  -0.004544  -0.002531  -0.009366
-0.198659  -0.696489  -3.622720  -0.004869  -0.002977  -0.009365
-0.203333  -0.699450  -3.637223  -0.004349  -0.003279  -0.009554
-0.207249  -0.702653  -3.652109  -0.003574  -0.003424  -0.009803
-0.210519  -0.706004  -3.667321  -0.003010  -0.003499  -0.009958
