# Time (s),  Angular velocity (rad/s)
32.115391  1.725079
32.157099  1.630336
32.198808  1.524102
32.240516  1.413911
32.282224  1.302320
32.323933  1.184855
32.365641  1.055590
32.407349  0.914941
32.449057  0.772605
32.490766  0.642891
32.532474  0.533959
32.574182  0.439991
32.615891  0.343555
32.657599  0.222553
32.699307  0.065291
32.741016  -0.117225
32.782724  -0.298447
32.824432  -0.460457
32.866140  -0.608828
32.907849  -0.761736
32.949557  -0.930186
32.991265  -1.110598
33.032974  -1.289381
33.074682  -1.450020
33.116390  -1.583149
33.158099  -1.687837
33.199807  -1.772164
33.241515  -1.846437
33.283223  -1.916419
33.324932  -1.979865
33.366640  -2.025708
33.408348  -2.040392
33.450057  -2.018046
33.491765  -1.967056
33.533473  -1.901131
33.575182  -1.830868
33.616890  -1.756782
33.658598  -1.674728
33.700306  -1.580936
33.742015  -1.478637
33.783723  -1.378244
33.825431  -1.288170
33.867140  -1.205367
33.908848  -1.118308
33.950556  -1.018830
33.992265  -0.902501
34.033973  -0.766851
34.075681  -0.607697
34.117389  -0.420411
34.159098  -0.206974
34.200806  0.020072
34.242514  0.242620
34.284223  0.448440
34.325931  0.638312
34.367639  0.820624
34.409348  1.002293
34.451056  1.184548
34.492764  1.363424
34.534472  1.529065
34.576181  1.673083
34.617889  1.791493
34.659597  1.888120
34.701306  1.971007
34.743014  2.047108
34.784722  2.117881
34.826431  2.178915
34.868139  2.223599
34.909847  2.244732
34.951555  2.237796
34.993264  2.196305
35.034972  2.120413
35.076680  2.019501
35.118389  1.907949
35.160097  1.794173
35.201805  1.677644
35.243514  1.554677
35.285222  1.424687
35.326930  1.291919
35.368638  1.161536
35.410347  1.037811
35.452055  0.920359
35.493763  0.806948
35.535472  0.697021
35.577180  0.592709
35.618888  0.494586
35.660597  0.392679
35.702305  0.268357
35.744013  0.111196
35.785721  -0.067683
35.827430  -0.245474
35.869138  -0.408296
35.910846  -0.557893
35.952555  -0.702940
35.994263  -0.849121
36.035971  -1.000794
36.077680  -1.162286
36.119388  -1.333268
36.161096  -1.508989
36.202804  -1.681680
36.244513  -1.839707
36.286221  -1.975302
36.327929  -2.087938
36.369638  -2.178314
36.411346  -2.239642
36.453054  -2.258402
36.494763  -2.227817
36.536471  -2.157596
36.578179  -2.067084
36.619887  -1.976991
36.661596  -1.902482
36.703304  -1.846503
36.745012  -1.801321
36.786721  -1.750792
36.828429  -1.678528
36.870137  -1.577442
36.911846  -1.448569
36.953554  -1.298295
36.995262  -1.140587
37.036970  -0.994370
37.078679  -0.873461
37.120387  -0.774983
37.162095  -0.681724
37.203804  -0.570375
37.245512  -0.418089
37.287220  -0.216701
37.328929  0.015058
37.370637  0.242001
37.412345  0.439077
37.454053  0.610903
37.495762  0.784768
37.537470  0.983667
37.579178  1.209998
37.620887  1.445057
37.662595  1.662595
37.704303  1.849885
37.746012  2.002777
37.787720  2.120833
37.829428  2.207832
37.871136  2.273293
37.912845  2.327417
37.954553  2.373945
37.996261  2.407200
38.037970  2.418354
38.079678  2.397081
38.121386  2.328946
38.163095  2.213211
38.204803  2.066847
38.246511  1.916493
38.288219  1.777592
38.329928  1.648505
38.371636  1.524557
38.413344  1.407812
38.455053  1.300354
38.496761  1.200084
38.538469  1.105301
38.580178  1.015243
38.621886  0.927445
38.663594  0.834489
38.705302  0.728512
38.747011  0.607995
38.788719  0.473850
38.830427  0.321722
38.872136  0.149128
38.913844  -0.034861
38.955552  -0.213762
38.997261  -0.378658
39.038969  -0.532447
39.080677  -0.680357
39.122385  -0.824578
39.164094  -0.968244
39.205802  -1.116742
39.247510  -1.274367
39.289219  -1.439552
